gene_product	ala__L_c	arg__L_c	asn__L_c	asp__L_c	cys__L_c	gln__L_c	glu__L_c	gly_c	his__L_c	ile__L_c	leu__L_c	lys__L_c	met__L_c	phe__L_c	pro__L_c	ser__L_c	thr__L_c	trp__L_c	tyr__L_c	val__L_c
b0041	39	7	9	18	4	20	18	15	0	21	22	15	2	5	10	16	10	2	3	20
b0042	45	15	16	17	2	16	14	25	6	19	27	15	8	6	11	17	18	4	8	24
b0043	48	18	12	26	4	13	27	45	10	23	46	26	18	14	16	23	15	1	8	35
b0044	7	4	3	7	4	3	7	10	2	2	9	7	1	4	4	3	3	1	4	10
b0045	36	24	11	14	5	11	14	46	2	40	55	8	23	30	22	28	20	12	10	32
b0046	16	6	3	7	3	10	11	14	15	12	20	5	4	6	10	7	7	7	8	5
b0047	70	38	11	21	4	21	44	52	11	42	95	17	26	30	20	32	26	7	8	45
b0048	13	9	6	13	2	4	12	10	5	12	11	6	5	6	10	9	6	5	4	11
b0049	24	15	8	20	6	7	18	23	7	9	37	13	6	11	19	14	13	8	9	13
b0050	6	7	6	3	1	8	10	12	2	12	8	0	3	3	9	6	8	1	7	13
b0051	24	16	17	11	2	16	13	15	7	13	27	9	12	13	20	13	13	0	8	24
b0052	37	15	12	14	4	12	18	30	11	19	43	10	8	9	23	5	26	1	5	27
b0053	48	25	27	28	0	34	22	26	8	31	37	23	16	10	14	27	17	5	5	25
b0054	49	45	54	64	4	44	35	54	12	34	54	27	18	24	34	56	50	18	58	50
b0055	28	19	7	11	2	24	14	27	7	13	22	17	15	16	7	9	10	4	6	13
b0057	3	0	4	2	0	1	5	2	0	5	7	7	1	0	3	1	6	0	1	4
b0058	20	16	6	10	2	9	16	11	9	8	20	11	9	4	19	9	10	3	9	18
b0059	85	74	40	67	6	57	82	54	29	50	117	26	24	37	36	50	45	12	19	58
b0060	56	63	25	42	7	41	58	57	23	37	81	30	18	35	47	30	40	16	33	44
b0061	21	8	7	12	2	11	15	19	11	12	16	11	7	6	11	10	18	4	9	21
b0062	43	24	22	33	7	26	24	39	21	24	48	23	17	23	19	17	33	11	11	35
b0063	79	26	18	30	15	34	29	43	13	31	49	16	9	19	32	33	26	16	9	39
b0064	21	22	14	14	5	15	18	21	12	16	31	7	5	17	17	19	7	6	10	15
b0065	21	11	2	6	3	4	5	24	8	18	45	10	9	13	14	13	10	13	4	21
b0066	21	14	8	8	2	14	9	20	6	11	36	6	11	5	11	18	15	2	1	14
b0067	60	34	10	17	10	28	12	33	4	29	103	7	16	26	28	27	22	17	12	41
b0068	38	8	16	17	4	14	17	19	2	4	37	26	5	15	20	17	19	9	13	27
b0069	37	42	18	27	7	38	34	30	24	32	72	13	12	21	28	32	26	20	14	24
b0070	52	17	13	8	4	11	7	32	2	29	50	7	27	26	11	24	19	10	11	32
b0071	22	7	11	16	2	10	10	13	6	10	18	11	4	17	10	7	8	2	5	12
b0072	55	21	17	23	9	17	32	47	14	26	30	25	15	16	23	17	33	3	8	35
b0073	43	22	13	23	6	13	25	32	8	27	35	13	9	13	19	19	12	2	11	18
b0074	61	27	30	29	6	22	41	35	15	39	36	27	13	15	12	30	23	2	14	46
b0075	1	4	1	0	0	1	0	3	2	3	5	0	1	1	0	3	1	0	0	2
b0076	25	15	12	12	4	24	23	10	13	12	32	11	11	15	17	26	13	4	8	27
b0077	47	24	17	30	6	33	29	49	19	29	53	23	23	12	28	31	34	9	19	59
b0080	34	32	10	21	3	15	25	14	8	13	39	12	6	12	18	17	16	3	11	25
b0081	9	11	4	8	3	11	13	9	4	6	25	5	5	3	6	8	7	3	3	9
b0082	30	30	9	18	0	11	29	25	5	21	31	14	9	10	16	17	14	3	4	17
b0083	8	9	3	6	2	6	10	6	6	9	17	5	3	2	3	6	8	1	0	11
b0084	55	40	27	25	2	19	28	55	7	35	49	32	15	15	32	41	30	6	21	54
b0085	66	28	17	34	8	16	29	43	19	19	52	16	13	10	17	21	25	7	11	44
b0086	64	17	23	22	4	18	23	39	9	23	54	16	9	11	15	27	31	5	5	37
b0087	29	15	8	9	2	8	7	36	8	26	49	12	13	24	14	15	16	10	15	44
b0088	52	22	21	25	7	15	27	40	10	14	56	15	13	13	17	21	24	3	9	34
b0089	35	25	7	12	2	11	14	37	2	34	67	13	19	26	15	26	19	10	11	29
b0090	54	21	9	12	1	22	15	37	8	18	30	15	11	8	19	15	13	9	5	33
b0091	54	34	20	31	2	19	31	41	17	30	43	12	15	18	28	17	29	1	11	38
b0092	31	11	4	15	2	14	23	31	3	12	41	14	11	9	13	25	13	5	7	22
b0093	19	21	13	13	0	25	19	17	3	11	31	10	9	5	13	15	18	7	7	20
b0094	36	21	13	18	9	19	33	40	13	28	36	21	8	4	14	24	19	2	12	50
b0095	47	18	16	28	0	14	26	42	3	22	29	17	16	13	15	12	24	0	3	38
b0096	32	18	15	25	6	8	15	19	7	19	29	15	8	18	12	12	15	2	8	22
b0097	22	11	7	3	0	11	7	9	7	6	21	5	3	6	13	12	12	4	5	6
b0098	81	66	34	52	4	42	93	56	22	54	82	51	33	25	29	44	42	7	25	59
b0099	9	7	6	4	0	5	18	10	3	9	11	8	4	7	9	2	4	5	1	7
b0101	2	3	1	4	4	2	8	4	0	4	3	4	1	2	5	8	4	3	0	3
b0102	14	20	8	14	4	22	14	13	6	15	39	6	4	12	12	14	11	4	2	13
b0103	30	13	10	13	0	15	11	9	7	14	20	6	3	4	9	8	9	2	4	19
b0104	31	17	12	16	7	8	25	37	8	18	25	20	11	16	9	25	22	3	6	31
b0106	40	17	10	12	4	28	17	27	10	27	70	14	18	13	16	21	24	11	5	16
b0107	42	29	12	19	10	34	27	31	20	26	61	9	8	9	27	17	34	4	5	37
b0108	13	6	8	9	4	7	5	14	1	9	13	3	5	4	5	10	12	2	4	12
b0109	26	21	16	20	2	8	26	22	7	14	36	12	4	9	9	14	19	3	3	26
b0110	17	13	3	16	5	8	9	13	7	11	14	4	2	8	14	6	12	4	6	11
b0111	29	18	4	7	2	9	10	21	13	12	47	8	7	16	9	9	18	9	10	26
b0112	52	10	18	5	4	15	16	42	7	38	54	15	20	29	17	24	18	12	15	46
b0113	22	28	5	10	1	16	31	9	9	12	38	8	5	7	10	20	6	1	6	10
b0114	72	49	38	52	6	41	71	79	23	57	70	48	22	34	36	43	42	11	42	51
b0115	96	20	17	33	1	15	58	51	5	45	33	53	17	19	37	29	27	3	3	68
b0116	50	15	14	25	5	8	39	51	13	39	34	39	10	14	21	14	26	4	8	45
b0117	67	48	35	38	3	66	26	22	20	18	30	19	12	17	45	40	38	8	16	49
b0118	97	39	31	55	10	25	57	76	15	47	88	49	23	29	54	36	47	8	21	58
b0119	9	6	5	7	1	6	18	9	4	1	10	4	7	5	0	5	2	3	5	13
b0120	14	10	13	19	6	6	22	11	12	24	23	16	9	9	11	14	16	1	14	14
b0121	26	11	11	20	6	16	15	21	15	18	21	9	7	18	10	14	16	2	13	19
b0122	13	5	6	9	3	5	4	6	0	3	14	7	4	8	2	9	4	1	5	7
b0123	43	20	21	31	3	23	21	51	23	21	52	24	29	18	34	21	26	9	9	37
b0124	74	29	39	41	7	26	33	75	10	41	71	32	24	32	67	38	52	24	25	56
b0125	7	13	2	15	2	3	15	12	3	16	17	10	7	6	6	14	7	0	6	17
b0126	12	12	13	11	5	9	16	16	12	14	28	10	5	5	6	10	9	6	5	16
b0127	19	19	14	13	1	17	25	25	3	18	42	21	9	9	9	15	16	2	10	21
b0128	15	9	7	4	1	6	3	23	6	23	33	4	9	24	12	15	15	6	10	31
b0129	11	9	4	6	5	6	12	8	7	7	17	5	7	4	6	12	5	3	3	9
b0130	36	28	24	22	0	19	11	25	12	20	42	22	10	20	19	25	22	6	18	28
b0131	18	8	6	8	2	3	8	8	4	12	5	5	4	4	3	6	7	2	3	10
b0132	18	17	6	18	2	19	26	15	13	17	37	11	17	12	14	17	13	2	10	16
b0133	24	21	8	22	2	11	19	18	4	20	32	17	10	9	12	12	12	1	5	24
b0134	34	9	7	12	3	11	18	26	7	13	26	11	9	10	11	8	17	1	8	23
b0135	19	7	32	21	6	16	10	38	5	24	29	19	7	19	20	36	48	3	26	27
b0136	13	6	12	11	4	10	4	19	3	14	15	7	7	9	6	24	10	1	5	18
b0137	27	3	11	9	4	4	6	11	0	8	10	15	4	9	5	19	26	1	6	23
b0138	13	5	14	11	2	5	6	14	1	15	13	13	6	8	8	18	25	2	2	8
b0139	54	34	68	54	6	47	36	71	11	58	63	29	12	28	29	98	52	13	51	51
b0140	20	11	15	13	2	5	10	16	2	12	19	18	5	14	16	24	15	4	7	18
b0141	21	2	16	15	2	6	2	20	1	10	13	13	6	6	5	14	20	0	6	16
b0142	13	10	8	8	0	7	12	8	4	9	22	5	5	6	12	6	9	3	4	8
b0143	39	54	18	24	4	18	36	25	8	20	49	22	13	21	25	17	26	6	14	26
b0144	30	22	7	18	4	23	15	21	15	20	32	7	2	12	18	15	11	7	11	18
b0145	13	15	5	10	4	8	22	7	2	9	12	10	4	4	5	5	6	1	3	6
b0146	23	15	6	9	4	11	19	12	5	12	22	12	5	8	10	20	17	3	9	12
b0147	20	18	4	5	1	9	9	10	5	8	21	3	3	10	14	11	11	5	3	6
b0148	92	65	21	47	7	56	48	52	11	31	128	24	22	9	50	44	31	14	11	46
b0149	68	60	35	52	2	63	38	66	5	38	83	40	27	25	52	50	40	13	30	57
b0150	69	33	43	49	4	33	35	62	8	17	46	40	12	36	37	54	58	9	42	60
b0151	27	18	4	10	2	10	16	24	10	14	35	7	9	6	17	17	12	3	7	17
b0152	32	19	11	17	1	8	13	18	5	13	39	8	14	13	22	17	13	8	7	18
b0153	86	35	9	15	6	22	7	62	8	43	124	5	32	25	32	35	38	21	5	50
b0154	52	18	14	22	10	8	28	46	8	20	36	11	19	21	24	16	22	1	14	36
b0155	58	23	12	11	3	14	17	57	6	37	67	13	18	27	21	15	29	6	9	30
b0156	6	2	6	10	3	4	6	14	0	5	9	5	3	6	4	10	7	0	4	10
b0157	21	11	3	9	2	1	5	22	3	17	25	5	11	7	10	4	14	4	4	29
b0159	32	6	9	12	5	8	15	22	7	18	23	11	4	8	6	12	9	0	4	21
b0160	34	46	16	24	6	19	46	21	19	25	63	23	11	21	21	32	19	10	23	26
b0161	45	13	34	22	2	31	16	53	1	30	42	28	15	14	19	41	25	0	5	38
b0162	29	38	19	22	2	19	28	27	8	19	56	9	16	7	11	15	20	5	8	27
b0163	4	10	6	12	1	7	12	5	1	11	12	14	1	4	3	7	4	0	6	8
b0164	24	16	10	13	6	6	15	22	9	12	34	8	6	17	18	14	14	3	7	16
b0166	24	16	12	14	3	12	19	26	3	22	15	13	5	8	9	14	14	3	9	33
b0167	65	77	28	52	9	54	62	46	38	46	122	22	19	38	40	42	48	16	16	50
b0168	14	13	8	17	7	5	22	22	9	26	16	18	9	6	11	12	16	1	8	24
b0169	25	13	12	17	1	7	16	17	6	14	21	19	8	12	7	11	13	3	2	17
b0170	39	9	8	14	2	10	32	24	4	19	16	28	10	10	5	10	11	0	3	29
b0171	28	14	11	12	2	4	15	23	3	13	27	13	12	7	7	9	14	1	5	21
b0172	19	17	5	19	1	6	14	6	0	12	15	16	5	3	8	13	9	0	2	15
b0173	49	21	15	22	8	24	21	21	8	16	43	15	19	11	18	26	21	3	6	31
b0174	27	20	15	12	2	13	19	20	8	13	24	9	6	11	7	13	10	6	4	14
b0175	30	10	4	7	4	4	6	25	7	20	50	9	8	15	12	16	11	14	8	25
b0176	38	23	14	22	2	13	24	42	6	36	52	22	7	22	29	22	16	8	8	44
b0178	23	9	7	11	0	15	8	7	0	5	14	17	6	4	0	11	9	1	1	13
b0179	33	13	20	21	7	18	9	38	6	36	20	14	13	4	12	17	18	3	7	32
b0180	11	11	3	5	2	4	14	12	3	7	15	8	6	13	9	3	9	0	2	14
b0181	25	15	13	11	5	6	16	30	12	26	12	10	4	10	9	11	16	0	6	25
b0182	47	25	9	20	7	14	28	24	10	15	51	21	13	14	20	10	15	4	7	28
b0183	28	12	3	8	1	4	15	14	9	11	21	11	6	5	13	9	6	1	5	16
b0184	102	78	32	86	12	40	92	94	24	66	122	58	37	50	54	46	45	8	39	75
b0185	37	25	7	21	2	11	25	26	4	24	33	17	11	8	16	16	9	2	10	15
b0186	50	32	25	43	7	28	47	50	23	46	68	32	29	33	40	36	43	12	27	42
b0187	11	7	3	10	3	5	9	6	5	7	13	5	1	9	8	7	5	1	6	8
b0188	48	36	11	18	6	34	27	30	9	16	59	7	5	11	21	22	20	15	5	32
b0189	5	3	4	7	2	3	9	3	3	3	11	5	2	1	2	6	5	0	3	7
b0190	22	11	9	15	3	14	10	4	2	7	24	8	4	5	4	8	11	8	4	8
b0191	18	17	2	3	0	5	11	7	5	11	11	11	3	1	4	13	7	0	3	8
b0192	27	11	9	12	5	6	18	17	2	4	22	12	11	9	13	17	18	3	9	11
b0193	25	9	5	16	5	14	9	18	6	14	23	19	6	19	14	28	16	3	5	20
b0194	51	35	19	34	1	27	48	41	9	36	49	28	17	20	28	30	27	5	18	49
b0195	22	16	5	9	1	9	17	15	5	8	23	11	5	14	18	14	11	4	7	21
b0196	16	8	5	3	6	6	6	7	1	6	10	8	5	1	14	14	7	0	2	9
b0197	26	4	15	21	1	15	15	21	2	13	29	26	1	9	12	10	9	1	10	31
b0198	22	11	6	1	0	6	6	23	0	23	26	3	10	9	11	7	15	3	8	27
b0199	23	18	15	17	5	19	22	22	10	22	43	15	7	10	13	23	25	1	5	28
b0200	20	8	6	18	3	9	11	12	6	10	14	11	8	7	9	7	8	3	5	16
b0207	33	9	12	14	1	11	20	13	5	24	28	19	5	4	11	16	14	5	8	15
b0208	27	24	8	12	3	8	26	16	4	20	33	14	8	10	13	30	17	1	9	21
b0209	26	23	10	11	2	13	12	13	7	10	30	8	7	11	21	16	10	3	10	23
b0210	26	14	9	14	0	9	9	10	7	13	18	4	6	7	8	14	11	4	6	18
b0211	45	27	24	26	1	22	13	33	6	19	43	34	16	7	18	43	26	8	12	29
b0212	15	9	14	16	6	11	17	15	10	16	27	14	3	13	12	11	14	3	8	17
b0213	18	17	11	10	7	12	5	12	9	9	33	15	7	8	19	11	9	7	3	18
b0214	14	10	7	7	3	8	12	14	5	7	12	11	4	2	5	4	10	6	5	9
b0215	27	15	8	16	3	11	18	17	7	16	21	12	8	12	5	8	16	1	6	16
b0217	19	8	17	18	5	17	16	8	1	11	22	25	9	6	10	18	19	4	10	18
b0218	10	4	4	6	3	3	5	9	1	8	12	6	4	6	4	7	5	1	2	12
b0219	31	20	12	16	4	12	13	17	8	11	26	5	7	9	11	11	9	9	8	17
b0220	16	2	6	8	2	8	6	13	3	7	12	11	9	6	4	13	17	3	2	9
b0221	81	45	26	38	8	29	45	71	20	54	96	41	22	27	45	42	37	12	22	53
b0222	22	10	10	12	3	4	13	19	7	20	13	11	5	7	3	10	6	0	5	12
b0223	15	15	12	11	7	11	13	23	6	10	21	11	6	13	14	13	22	7	8	17
b0224	11	10	8	10	4	17	11	19	4	13	19	19	8	12	15	20	9	1	19	17
b0225	5	5	3	7	0	4	3	5	4	5	13	10	3	2	4	3	5	2	6	3
b0226	12	5	4	10	0	3	4	4	1	7	10	7	2	3	2	3	4	0	0	5
b0227	21	22	10	9	2	13	15	13	13	16	27	10	4	13	11	19	11	4	9	7
b0228	7	16	6	11	2	6	7	8	9	13	8	9	3	9	7	8	9	9	8	10
b0229	61	28	25	32	1	30	25	34	7	41	74	23	19	16	28	37	33	3	16	46
b0230	19	12	13	14	0	12	15	9	3	11	21	17	11	5	7	12	11	1	4	14
b0231	31	32	8	20	6	13	23	23	9	22	38	20	10	13	17	16	17	4	5	24
b0232	12	8	6	7	0	3	10	1	1	5	9	7	4	5	5	5	3	0	3	3
b0233	13	10	6	10	1	6	8	4	5	8	15	8	4	10	7	3	5	2	3	4
b0234	13	10	5	5	2	14	8	5	3	13	7	8	4	9	7	10	7	4	7	9
b0235	8	8	5	4	0	3	2	10	2	5	8	1	4	4	7	4	3	2	4	4
b0236	14	16	6	6	2	12	11	13	7	8	13	6	3	5	5	16	10	5	3	5
b0237	42	15	26	29	4	14	36	42	16	31	54	29	12	13	23	22	26	6	10	35
b0238	11	10	1	13	1	5	8	13	4	13	11	7	5	4	9	7	6	4	4	16
b0239	35	28	12	27	6	20	20	27	12	16	44	16	15	15	27	23	21	11	16	23
b0240	7	9	3	8	3	2	14	6	3	2	15	12	2	10	8	5	8	4	3	9
b0241	31	12	27	31	0	17	14	37	1	14	23	25	9	21	3	21	24	3	22	16
b0242	45	26	13	24	3	13	18	37	10	31	39	11	6	5	11	22	19	2	7	25
b0243	54	25	17	29	7	18	24	31	7	27	43	19	9	5	12	22	21	1	8	38
b0245	11	10	5	5	2	7	6	4	2	7	14	5	2	3	5	4	7	2	3	9
b0246	6	8	3	5	4	4	7	7	6	6	13	2	3	3	4	6	10	0	5	3
b0247	14	15	5	6	0	10	11	7	11	7	22	3	3	6	7	5	11	1	2	12
b0248	17	7	6	9	5	8	11	8	7	9	11	0	6	8	10	6	9	5	7	3
b0249	5	10	3	5	0	4	4	6	1	3	5	0	2	3	4	4	11	2	2	5
b0250	11	3	11	14	2	8	4	13	4	8	10	5	4	10	3	15	13	3	5	9
b0251	7	5	4	16	3	9	9	5	2	5	18	10	4	4	9	10	9	1	8	9
b0252	17	30	7	13	3	18	20	21	7	12	29	9	5	10	13	18	14	3	6	18
b0253	23	20	6	14	5	18	15	17	6	14	30	10	5	12	15	22	14	4	6	31
b0254	28	19	10	12	3	12	25	14	9	15	48	14	4	13	17	18	12	4	8	12
b0255	8	10	8	5	3	8	10	8	0	9	8	12	5	4	4	10	9	2	3	8
b0256	22	47	20	12	3	12	24	22	13	22	39	28	6	10	16	27	30	6	8	16
b0257	9	13	4	2	5	8	8	16	9	3	11	5	4	2	7	8	6	3	6	12
b0258	30	41	10	16	3	14	21	25	11	26	44	20	11	10	15	23	18	10	10	23
b0259	28	26	15	14	1	22	23	16	14	17	32	19	15	14	12	16	17	6	7	12
b0260	55	16	11	4	10	14	15	41	7	32	52	9	12	35	25	25	30	13	13	48
b0261	51	17	9	16	8	12	20	22	11	9	43	7	2	6	14	16	14	4	13	16
b0262	22	22	11	20	3	24	21	29	9	19	35	12	14	16	16	18	16	1	12	28
b0263	13	8	2	5	0	2	5	6	1	15	16	3	2	4	4	12	8	1	4	9
b0264	6	17	4	7	1	9	6	11	9	7	16	11	5	6	9	12	6	5	8	12
b0265	7	8	4	2	5	5	0	9	4	5	4	4	4	2	2	10	8	1	2	5
b0266	8	9	5	5	3	4	6	10	8	4	16	2	2	7	3	5	8	1	4	6
b0267	25	36	7	23	5	16	21	36	17	10	34	17	14	14	21	27	21	13	9	18
b0268	30	11	9	20	3	16	9	25	9	21	35	13	4	12	18	16	19	2	7	23
b0269	75	36	16	35	10	23	34	73	21	46	56	21	15	18	38	32	47	9	7	43
b0270	43	19	6	17	10	13	11	36	6	28	60	15	15	32	15	30	32	7	21	44
b0271	27	29	17	35	8	16	28	49	20	19	45	14	9	24	42	37	37	19	31	30
b0272	26	17	7	8	1	14	20	20	6	16	36	11	4	4	6	16	16	3	8	13
b0273	38	11	12	19	4	15	24	26	10	10	36	23	15	14	9	13	23	4	8	20
b0274	6	17	4	7	1	9	6	11	9	7	16	11	5	6	9	12	6	5	8	12
b0275	7	8	4	2	5	5	0	9	4	5	4	4	4	2	2	10	8	1	2	5
b0276	25	14	5	19	1	11	26	12	7	6	24	15	6	9	9	10	9	4	11	20
b0277	8	16	11	16	8	7	12	12	8	12	23	13	3	7	7	9	9	2	15	10
b0278	6	16	6	9	7	15	14	10	10	24	24	19	5	11	4	20	11	2	9	10
b0279	8	14	22	13	4	10	18	10	8	28	21	20	8	9	11	27	14	3	12	24
b0280	19	6	7	5	3	4	7	3	3	8	10	11	5	6	8	20	13	1	2	5
b0281	43	38	18	20	3	18	26	22	10	32	48	34	7	13	20	38	27	13	14	22
b0283	35	25	4	15	7	13	21	26	10	11	40	8	6	12	17	19	17	4	8	20
b0284	95	39	26	43	6	27	41	71	19	34	60	32	19	18	38	36	52	8	17	51
b0285	49	22	9	14	4	11	15	25	9	14	36	12	4	8	18	14	23	1	8	22
b0286	25	10	9	12	9	8	15	18	9	14	21	9	5	2	11	13	20	0	4	15
b0287	17	12	10	7	3	4	9	15	5	17	20	3	4	16	18	9	6	7	5	17
b0288	13	8	9	2	10	2	5	9	1	4	5	4	4	5	6	7	8	1	3	3
b0289	14	21	10	12	3	7	12	14	4	9	18	11	3	11	17	19	17	3	9	22
b0290	41	19	37	32	8	17	15	45	5	32	33	19	16	28	19	57	55	15	23	31
b0291	70	51	61	46	2	43	32	90	10	40	82	24	14	25	22	85	48	15	32	49
b0292	23	15	12	15	2	8	7	13	2	12	25	14	4	8	11	20	11	2	8	10
b0293	23	2	10	12	0	7	4	20	0	8	15	10	3	8	3	16	30	3	4	17
b0294	11	16	11	13	2	6	12	6	3	18	15	18	5	5	2	16	6	4	14	13
b0295	5	8	5	1	0	7	9	4	0	6	3	3	3	0	4	4	3	1	4	5
b0296	3	6	2	5	0	1	5	6	3	5	2	7	1	6	4	7	10	0	5	9
b0297	29	17	15	19	1	15	11	21	8	12	19	14	8	12	14	20	21	8	14	17
b0298	11	10	2	1	0	8	12	1	1	3	11	10	2	2	2	10	7	1	3	2
b0299	26	32	10	11	11	16	13	16	9	11	21	13	7	12	8	22	11	9	13	17
b0300	10	20	9	12	6	11	19	6	7	17	23	15	6	15	10	16	15	4	9	9
b0301	17	7	7	6	0	3	12	15	5	11	29	8	7	9	10	13	13	4	9	12
b0303	9	2	4	5	0	0	1	1	1	6	6	7	3	3	1	12	7	1	2	7
b0304	38	24	26	27	3	17	22	35	16	37	39	17	13	14	18	22	26	2	8	37
b0305	28	18	9	6	6	15	18	15	10	12	37	5	8	12	15	23	17	5	4	21
b0306	22	12	9	11	9	7	16	19	3	12	25	16	9	7	10	16	8	1	6	21
b0307	45	35	17	23	11	19	31	38	17	32	33	26	15	14	20	21	25	7	13	33
b0308	26	14	10	9	6	15	22	15	2	14	26	9	3	5	9	16	7	1	5	17
b0310	11	9	13	10	6	11	13	7	2	27	19	15	8	9	7	16	13	3	10	13
b0315	20	12	16	16	5	19	23	24	14	31	35	19	9	21	19	23	18	4	9	25
b0316	25	18	14	14	4	18	17	19	7	29	31	12	6	14	12	14	29	4	9	14
b0317	17	3	4	1	3	4	3	26	1	6	18	3	4	14	2	16	12	8	4	16
b0318	21	5	10	13	7	12	9	15	6	16	31	11	1	3	8	5	13	1	4	10
b0319	28	15	16	16	6	20	13	21	13	21	33	9	7	11	8	12	14	4	10	10
b0320	48	24	24	30	7	21	39	46	9	36	55	27	17	18	20	30	24	0	5	35
b0321	53	14	18	24	7	23	24	48	11	39	32	15	25	17	23	25	26	6	8	34
b0322	18	6	3	1	3	5	4	13	3	5	12	0	3	3	0	10	4	0	0	13
b0323	33	15	8	20	4	17	19	29	9	26	24	17	5	8	17	11	19	1	5	29
b0324	44	19	18	25	4	25	27	32	16	20	51	25	16	11	22	25	33	4	12	31
b0325	34	18	10	21	10	10	24	33	16	21	23	16	12	7	19	12	19	2	11	31
b0326	11	11	14	27	6	11	11	7	9	17	32	20	8	11	14	12	9	5	14	22
b0327	5	4	2	2	0	4	2	8	2	5	13	7	3	2	4	9	4	2	1	2
b0328	21	16	4	4	2	11	5	18	2	17	28	0	8	17	8	15	15	6	6	20
b0329	11	0	4	6	0	2	8	5	1	7	7	13	4	1	0	6	7	0	3	6
b0330	57	43	15	22	3	24	38	35	11	27	69	19	11	22	25	29	33	3	13	29
b0331	44	18	11	18	2	12	18	19	6	18	28	11	9	10	10	15	16	0	10	21
b0333	35	20	13	20	3	11	26	29	18	24	35	23	11	10	19	27	21	5	13	26
b0334	55	30	20	30	7	19	30	28	10	30	42	21	13	19	23	19	27	7	17	36
b0335	58	40	13	40	9	24	36	51	17	39	47	21	14	23	34	42	33	16	16	55
b0336	52	9	21	10	2	6	3	50	5	27	60	8	15	25	13	26	27	9	9	42
