gene_product	metabolite	aa_count
b2314	cys__L_c	0
b2314	tyr__L_c	5
b2314	phe__L_c	3
b2314	asp__L_c	10
b2314	arg__L_c	6
b2314	trp__L_c	0
b2314	gly_c	19
b2314	leu__L_c	18
b2314	met__L_c	4
b2314	thr__L_c	10
b2314	ala__L_c	28
b2355	lys__L_c	7
b2355	ser__L_c	12
b2355	pro__L_c	11
b2355	gln__L_c	9
b2355	glu__L_c	6
b2355	asn__L_c	7
b2355	his__L_c	1
b2355	val__L_c	11
b2355	ile__L_c	9
b2355	cys__L_c	4
b2355	tyr__L_c	5
b2355	phe__L_c	8
b2355	asp__L_c	8
b2355	arg__L_c	7
b2355	trp__L_c	1
b2355	gly_c	19
b2355	leu__L_c	19
b2355	met__L_c	3
b2355	thr__L_c	8
b2355	ala__L_c	17
b2529	lys__L_c	12
b2529	ser__L_c	10
b2529	pro__L_c	4
b2529	gln__L_c	2
b2529	glu__L_c	12
b2529	asn__L_c	7
b2529	his__L_c	2
b2529	val__L_c	9
b2529	ile__L_c	11
b2529	cys__L_c	3
b2529	tyr__L_c	4
b2529	phe__L_c	2
b2529	asp__L_c	10
b2529	arg__L_c	3
b2529	trp__L_c	1
b2529	gly_c	9
b2529	leu__L_c	6
b2529	met__L_c	3
b2529	thr__L_c	3
b2529	ala__L_c	15
b0164	lys__L_c	8
b0164	ser__L_c	14
b0164	pro__L_c	18
b0164	gln__L_c	6
b0164	glu__L_c	15
b0164	asn__L_c	10
b0164	his__L_c	9
b0164	val__L_c	16
b0164	ile__L_c	12
b0164	cys__L_c	6
b0164	tyr__L_c	7
b0164	phe__L_c	17
b0164	asp__L_c	13
b0164	arg__L_c	16
b0164	trp__L_c	3
b0164	gly_c	22
b0164	leu__L_c	34
b0164	met__L_c	6
b0164	thr__L_c	14
b0164	ala__L_c	24
b3676	lys__L_c	3
b3676	ser__L_c	5
b3676	pro__L_c	4
b3676	gln__L_c	1
b3676	glu__L_c	5
b3676	asn__L_c	3
b3676	his__L_c	0
b3676	val__L_c	7
b3676	ile__L_c	7
b3676	cys__L_c	1
b3676	tyr__L_c	5
b3676	phe__L_c	5
b3676	asp__L_c	4
b3676	arg__L_c	8
b3676	trp__L_c	2
b3676	gly_c	9
b3676	leu__L_c	24
b3676	met__L_c	5
b3676	thr__L_c	4
b3676	ala__L_c	13
b1404	lys__L_c	28
b1404	ser__L_c	27
b1404	pro__L_c	16
b1404	gln__L_c	12
b1404	glu__L_c	24
b1404	asn__L_c	20
b1404	his__L_c	13
b1404	val__L_c	15
b1404	ile__L_c	22
b1404	cys__L_c	3
b1404	tyr__L_c	8
b1404	phe__L_c	10
b1404	asp__L_c	12
b1404	arg__L_c	47
b1404	trp__L_c	6
b1404	gly_c	22
b1404	leu__L_c	40
b1404	met__L_c	6
b1404	thr__L_c	30
b1404	ala__L_c	22
b0316	lys__L_c	12
b0316	ser__L_c	14
b0316	pro__L_c	12
b0316	gln__L_c	18
b0316	glu__L_c	17
b0316	asn__L_c	14
b0316	his__L_c	7
b0316	val__L_c	14
b0316	ile__L_c	29
b0316	cys__L_c	4
b0316	tyr__L_c	9
b0316	phe__L_c	14
b0316	asp__L_c	14
b0316	arg__L_c	18
b0316	trp__L_c	4
b0316	gly_c	19
b0316	leu__L_c	31
b0316	met__L_c	6
b0316	thr__L_c	29
b0316	ala__L_c	25
b2152	lys__L_c	8
b2152	ser__L_c	18
b2152	pro__L_c	13
b2152	gln__L_c	15
b2152	glu__L_c	6
b2152	asn__L_c	9
b2152	his__L_c	5
b2152	val__L_c	22
b2152	ile__L_c	23
b2152	cys__L_c	4
b2152	tyr__L_c	14
b2152	phe__L_c	22
b2152	asp__L_c	11
b2152	arg__L_c	25
b2152	trp__L_c	18
b2152	gly_c	35
b2152	leu__L_c	74
b2152	met__L_c	9
b2152	thr__L_c	16
b2152	ala__L_c	38
b0386	lys__L_c	16
b0386	ser__L_c	17
b0386	pro__L_c	14
b0386	gln__L_c	8
b0386	glu__L_c	17
b0386	asn__L_c	7
b0386	his__L_c	4
b0386	val__L_c	25
b0386	ile__L_c	21
b0386	cys__L_c	4
b0386	tyr__L_c	3
b0386	phe__L_c	9
b0386	asp__L_c	10
b0386	arg__L_c	7
b0386	trp__L_c	1
b0386	gly_c	24
b0386	leu__L_c	18
b0386	met__L_c	14
b0386	thr__L_c	12
b0386	ala__L_c	38
b4110	lys__L_c	8
b4110	ser__L_c	16
b4110	pro__L_c	13
b4110	gln__L_c	25
b4110	glu__L_c	15
b4110	asn__L_c	5
b4110	his__L_c	9
b4110	val__L_c	13
b4110	ile__L_c	6
b4110	cys__L_c	5
b4110	tyr__L_c	5
b4110	phe__L_c	10
b4110	asp__L_c	11
b4110	arg__L_c	20
b4110	trp__L_c	11
b4110	gly_c	19
b4110	leu__L_c	44
b4110	met__L_c	7
b4110	thr__L_c	17
b4110	ala__L_c	33
b1627	lys__L_c	5
b1627	ser__L_c	8
b1627	pro__L_c	6
b1627	gln__L_c	2
b1627	glu__L_c	3
b1627	asn__L_c	8
b1627	his__L_c	1
b1627	val__L_c	22
b1627	ile__L_c	13
b1627	cys__L_c	3
b1627	tyr__L_c	4
b1627	phe__L_c	15
b1627	asp__L_c	3
b1627	arg__L_c	6
b1627	trp__L_c	2
b1627	gly_c	14
b1627	leu__L_c	36
b1627	met__L_c	9
b1627	thr__L_c	13
b1627	ala__L_c	20
b4048	lys__L_c	18
b4048	ser__L_c	21
b4048	pro__L_c	7
b4048	gln__L_c	7
b4048	glu__L_c	17
b4048	asn__L_c	15
b4048	his__L_c	4
b4048	val__L_c	9
b4048	ile__L_c	15
b4048	cys__L_c	4
b4048	tyr__L_c	9
b4048	phe__L_c	14
b4048	asp__L_c	25
b4048	arg__L_c	5
b4048	trp__L_c	1
b4048	gly_c	9
b4048	leu__L_c	23
b4048	met__L_c	7
b4048	thr__L_c	10
b4048	ala__L_c	15
b2005	lys__L_c	4
b2005	ser__L_c	8
b2005	pro__L_c	7
b2005	gln__L_c	6
b2005	glu__L_c	6
b2005	asn__L_c	6
b2005	his__L_c	2
b2005	val__L_c	7
b2005	ile__L_c	9
b2005	cys__L_c	2
b2005	tyr__L_c	4
b2005	phe__L_c	3
b2005	asp__L_c	7
b2005	arg__L_c	10
b2005	trp__L_c	1
b2005	gly_c	6
b2005	leu__L_c	15
b2005	met__L_c	2
b2005	thr__L_c	9
b2005	ala__L_c	10
b2673	lys__L_c	1
b2673	ser__L_c	3
b2673	pro__L_c	5
b2673	gln__L_c	3
b2673	glu__L_c	4
b2673	asn__L_c	4
b2673	his__L_c	3
b2673	val__L_c	5
b2673	ile__L_c	5
b2673	cys__L_c	2
b2673	tyr__L_c	1
b2673	phe__L_c	4
b2673	asp__L_c	5
b2673	arg__L_c	9
b2673	trp__L_c	1
b2673	gly_c	4
b2673	leu__L_c	4
b2673	met__L_c	4
b2673	thr__L_c	3
b2673	ala__L_c	11
b3047	lys__L_c	16
b3047	ser__L_c	13
b3047	pro__L_c	14
b3047	gln__L_c	13
b3047	glu__L_c	12
b3047	asn__L_c	21
b3047	his__L_c	2
b3047	val__L_c	17
b3047	ile__L_c	23
b3047	cys__L_c	3
b3047	tyr__L_c	9
b3047	phe__L_c	10
b3047	asp__L_c	11
b3047	arg__L_c	13
b3047	trp__L_c	3
b3047	gly_c	12
b3047	leu__L_c	17
b3047	met__L_c	11
b3047	thr__L_c	18
b3047	ala__L_c	11
b3947	lys__L_c	25
b3947	ser__L_c	61
b3947	pro__L_c	31
b3947	gln__L_c	44
b3947	glu__L_c	63
b3947	asn__L_c	31
b3947	his__L_c	22
b3947	val__L_c	41
b3947	ile__L_c	53
b3947	cys__L_c	17
b3947	tyr__L_c	15
b3947	phe__L_c	27
b3947	asp__L_c	42
b3947	arg__L_c	51
b3947	trp__L_c	9
b3947	gly_c	50
b3947	leu__L_c	103
b3947	met__L_c	18
b3947	thr__L_c	36
b3947	ala__L_c	94
b3939	lys__L_c	13
b3939	ser__L_c	22
b3939	pro__L_c	17
b3939	gln__L_c	14
b3939	glu__L_c	21
b3939	asn__L_c	15
b3939	his__L_c	11
b3939	val__L_c	31
b3939	ile__L_c	14
b3939	cys__L_c	5
b3939	tyr__L_c	10
b3939	phe__L_c	12
b3939	asp__L_c	21
b3939	arg__L_c	23
b3939	trp__L_c	2
b3939	gly_c	35
b3939	leu__L_c	50
b3939	met__L_c	6
b3939	thr__L_c	21
b3939	ala__L_c	43
b1427	lys__L_c	10
b1427	ser__L_c	10
b1427	pro__L_c	4
b1427	gln__L_c	16
b1427	glu__L_c	14
b1427	asn__L_c	11
b1427	his__L_c	6
b1427	val__L_c	11
b1427	ile__L_c	14
b1427	cys__L_c	3
b1427	tyr__L_c	6
b1427	phe__L_c	7
b1427	asp__L_c	8
b1427	arg__L_c	8
b1427	trp__L_c	3
b1427	gly_c	9
b1427	leu__L_c	18
b1427	met__L_c	4
b1427	thr__L_c	6
b1427	ala__L_c	11
b3683	lys__L_c	8
b3683	ser__L_c	19
b3683	pro__L_c	17
b3683	gln__L_c	14
b3683	glu__L_c	12
b3683	asn__L_c	9
b3683	his__L_c	7
b3683	val__L_c	29
b3683	ile__L_c	32
b3683	cys__L_c	2
b3683	tyr__L_c	8
b3683	phe__L_c	31
b3683	asp__L_c	6
b3683	arg__L_c	7
b3683	trp__L_c	7
b3683	gly_c	41
b3683	leu__L_c	46
b3683	met__L_c	17
b3683	thr__L_c	20
b3683	ala__L_c	36
b1913	lys__L_c	39
b1913	ser__L_c	38
b1913	pro__L_c	24
b1913	gln__L_c	34
b1913	glu__L_c	37
b1913	asn__L_c	18
b1913	his__L_c	15
b1913	val__L_c	44
b1913	ile__L_c	29
b1913	cys__L_c	7
b1913	tyr__L_c	22
b1913	phe__L_c	24
b1913	asp__L_c	33
b1913	arg__L_c	43
b1913	trp__L_c	2
b1913	gly_c	47
b1913	leu__L_c	64
b1913	met__L_c	11
b1913	thr__L_c	31
b1913	ala__L_c	48
b0179	lys__L_c	14
b0179	ser__L_c	17
b0179	pro__L_c	12
b0179	gln__L_c	18
b0179	glu__L_c	9
b0179	asn__L_c	20
b0179	his__L_c	6
b0179	val__L_c	32
b0179	ile__L_c	36
b0179	cys__L_c	7
b0179	tyr__L_c	7
b0179	phe__L_c	4
b0179	asp__L_c	21
b0179	arg__L_c	13
b0179	trp__L_c	3
b0179	gly_c	38
b0179	leu__L_c	20
b0179	met__L_c	13
b0179	thr__L_c	18
b0179	ala__L_c	33
b4299	lys__L_c	21
b4299	ser__L_c	20
b4299	pro__L_c	7
b4299	gln__L_c	6
b4299	glu__L_c	19
b4299	asn__L_c	17
b4299	his__L_c	6
b4299	val__L_c	13
b4299	ile__L_c	14
b4299	cys__L_c	6
b4299	tyr__L_c	14
b4299	phe__L_c	7
b4299	asp__L_c	8
b4299	arg__L_c	12
b4299	trp__L_c	4
b4299	gly_c	17
b4299	leu__L_c	37
b4299	met__L_c	8
b4299	thr__L_c	12
b4299	ala__L_c	14
b0651	lys__L_c	12
b0651	ser__L_c	11
b0651	pro__L_c	21
b0651	gln__L_c	8
b0651	glu__L_c	20
b0651	asn__L_c	12
b0651	his__L_c	8
b0651	val__L_c	29
b0651	ile__L_c	18
b0651	cys__L_c	3
b0651	tyr__L_c	7
b0651	phe__L_c	10
b0651	asp__L_c	19
b0651	arg__L_c	11
b0651	trp__L_c	4
b0651	gly_c	22
b0651	leu__L_c	34
b0651	met__L_c	9
b0651	thr__L_c	22
b0651	ala__L_c	31
b2119	lys__L_c	12
b2119	ser__L_c	18
b2119	pro__L_c	19
b2119	gln__L_c	14
b2119	glu__L_c	26
b2119	asn__L_c	14
b2119	his__L_c	8
b2119	val__L_c	23
b2119	ile__L_c	16
b2119	cys__L_c	3
b2119	tyr__L_c	8
b2119	phe__L_c	10
b2119	asp__L_c	17
b2119	arg__L_c	27
b2119	trp__L_c	4
b2119	gly_c	24
b2119	leu__L_c	40
b2119	met__L_c	10
b2119	thr__L_c	22
b2119	ala__L_c	47
b2981	lys__L_c	20
b2981	ser__L_c	16
b2981	pro__L_c	23
b2981	gln__L_c	17
b2981	glu__L_c	21
b2981	asn__L_c	18
b2981	his__L_c	9
b2981	val__L_c	15
b2981	ile__L_c	33
b2981	cys__L_c	3
b2981	tyr__L_c	11
b2981	phe__L_c	20
b2981	asp__L_c	21
b2981	arg__L_c	22
b2981	trp__L_c	13
b2981	gly_c	26
b2981	leu__L_c	38
b2981	met__L_c	16
b2981	thr__L_c	15
b2981	ala__L_c	33
b4739	lys__L_c	1
b4739	ser__L_c	2
b4739	pro__L_c	1
b4739	gln__L_c	2
b4739	glu__L_c	2
b4739	asn__L_c	5
b4739	his__L_c	1
b4739	val__L_c	2
b4739	ile__L_c	5
b4739	cys__L_c	0
b4739	tyr__L_c	0
b4739	phe__L_c	2
b4739	asp__L_c	0
b4739	arg__L_c	1
b4739	trp__L_c	1
b4739	gly_c	0
b4739	leu__L_c	5
b4739	met__L_c	3
b4739	thr__L_c	3
b4739	ala__L_c	0
b1279	lys__L_c	4
b1279	ser__L_c	6
b1279	pro__L_c	2
b1279	gln__L_c	5
b1279	glu__L_c	4
b1279	asn__L_c	3
b1279	his__L_c	1
b1279	val__L_c	10
b1279	ile__L_c	7
b1279	cys__L_c	1
b1279	tyr__L_c	3
b1279	phe__L_c	6
b1279	asp__L_c	2
b1279	arg__L_c	6
b1279	trp__L_c	2
b1279	gly_c	5
b1279	leu__L_c	17
b1279	met__L_c	1
b1279	thr__L_c	4
b1279	ala__L_c	13
b2959	lys__L_c	8
b2959	ser__L_c	5
b2959	pro__L_c	2
b2959	gln__L_c	4
b2959	glu__L_c	15
b2959	asn__L_c	3
b2959	his__L_c	2
b2959	val__L_c	6
b2959	ile__L_c	7
b2959	cys__L_c	2
b2959	tyr__L_c	1
b2959	phe__L_c	6
b2959	asp__L_c	8
b2959	arg__L_c	8
b2959	trp__L_c	5
b2959	gly_c	6
b2959	leu__L_c	8
b2959	met__L_c	3
b2959	thr__L_c	4
b2959	ala__L_c	5
b1264	lys__L_c	15
b1264	ser__L_c	36
b1264	pro__L_c	28
b1264	gln__L_c	21
b1264	glu__L_c	35
b1264	asn__L_c	17
b1264	his__L_c	11
b1264	val__L_c	33
b1264	ile__L_c	17
b1264	cys__L_c	12
b1264	tyr__L_c	14
b1264	phe__L_c	20
b1264	asp__L_c	35
b1264	arg__L_c	40
b1264	trp__L_c	0
b1264	gly_c	29
b1264	leu__L_c	67
b1264	met__L_c	12
b1264	thr__L_c	25
b1264	ala__L_c	53
b2827	lys__L_c	12
b2827	ser__L_c	10
b2827	pro__L_c	14
b2827	gln__L_c	16
b2827	glu__L_c	13
b2827	asn__L_c	11
b2827	his__L_c	11
b2827	val__L_c	13
b2827	ile__L_c	16
b2827	cys__L_c	5
b2827	tyr__L_c	9
b2827	phe__L_c	13
b2827	asp__L_c	21
b2827	arg__L_c	13
b2827	trp__L_c	7
b2827	gly_c	18
b2827	leu__L_c	28
b2827	met__L_c	7
b2827	thr__L_c	14
b2827	ala__L_c	13
basR	lys__L_c	9
basR	ser__L_c	7
basR	pro__L_c	6
basR	gln__L_c	6
basR	glu__L_c	17
basR	asn__L_c	11
basR	his__L_c	7
basR	val__L_c	14
basR	ile__L_c	13
basR	cys__L_c	1
basR	tyr__L_c	8
basR	phe__L_c	3
basR	asp__L_c	14
basR	arg__L_c	16
basR	trp__L_c	2
basR	gly_c	16
basR	leu__L_c	36
basR	met__L_c	6
basR	thr__L_c	13
basR	ala__L_c	17
b0292	lys__L_c	14
b0292	ser__L_c	20
b0292	pro__L_c	11
b0292	gln__L_c	8
b0292	glu__L_c	7
b0292	asn__L_c	12
b0292	his__L_c	2
b0292	val__L_c	10
b0292	ile__L_c	12
b0292	cys__L_c	2
b0292	tyr__L_c	8
b0292	phe__L_c	8
b0292	asp__L_c	15
b0292	arg__L_c	15
b0292	trp__L_c	2
b0292	gly_c	13
b0292	leu__L_c	25
b0292	met__L_c	4
b0292	thr__L_c	11
b0292	ala__L_c	23
b1633	lys__L_c	16
b1633	ser__L_c	6
b1633	pro__L_c	11
b1633	gln__L_c	4
b1633	glu__L_c	18
b1633	asn__L_c	13
b1633	his__L_c	6
b1633	val__L_c	18
b1633	ile__L_c	14
b1633	cys__L_c	7
b1633	tyr__L_c	5
b1633	phe__L_c	6
b1633	asp__L_c	6
b1633	arg__L_c	11
b1633	trp__L_c	2
b1633	gly_c	10
b1633	leu__L_c	22
b1633	met__L_c	2
b1633	thr__L_c	15
b1633	ala__L_c	19
b0139	lys__L_c	29
b0139	ser__L_c	98
b0139	pro__L_c	29
b0139	gln__L_c	47
b0139	glu__L_c	36
b0139	asn__L_c	68
b0139	his__L_c	11
b0139	val__L_c	51
b0139	ile__L_c	58
b0139	cys__L_c	6
b0139	tyr__L_c	51
b0139	phe__L_c	28
b0139	asp__L_c	54
b0139	arg__L_c	34
b0139	trp__L_c	13
b0139	gly_c	71
b0139	leu__L_c	63
b0139	met__L_c	12
b0139	thr__L_c	52
b0139	ala__L_c	54
b2110	lys__L_c	20
b2110	ser__L_c	15
b2110	pro__L_c	17
b2110	gln__L_c	9
b2110	glu__L_c	8
b2110	asn__L_c	25
b2110	his__L_c	3
b2110	val__L_c	17
b2110	ile__L_c	24
b2110	cys__L_c	0
b2110	tyr__L_c	6
b2110	phe__L_c	7
b2110	asp__L_c	9
b2110	arg__L_c	7
b2110	trp__L_c	4
b2110	gly_c	13
b2110	leu__L_c	21
b2110	met__L_c	9
b2110	thr__L_c	8
b2110	ala__L_c	17
b1482	lys__L_c	12
b1482	ser__L_c	10
b1482	pro__L_c	5
b1482	gln__L_c	6
b1482	glu__L_c	9
b1482	asn__L_c	3
b1482	his__L_c	3
b1482	val__L_c	8
b1482	ile__L_c	10
b1482	cys__L_c	2
b1482	tyr__L_c	2
b1482	phe__L_c	6
b1482	asp__L_c	8
b1482	arg__L_c	2
b1482	trp__L_c	1
b1482	gly_c	15
b1482	leu__L_c	10
b1482	met__L_c	3
b1482	thr__L_c	12
b1482	ala__L_c	16
b3333	lys__L_c	19
b3333	ser__L_c	32
b3333	pro__L_c	21
b3333	gln__L_c	30
b3333	glu__L_c	25
b3333	asn__L_c	13
b3333	his__L_c	15
b3333	val__L_c	23
b3333	ile__L_c	14
b3333	cys__L_c	4
b3333	tyr__L_c	12
b3333	phe__L_c	11
b3333	asp__L_c	15
b3333	arg__L_c	16
b3333	trp__L_c	14
b3333	gly_c	13
b3333	leu__L_c	53
b3333	met__L_c	8
b3333	thr__L_c	23
b3333	ala__L_c	26
b0285	lys__L_c	12
b0285	ser__L_c	14
b0285	pro__L_c	18
b0285	gln__L_c	11
b0285	glu__L_c	15
b0285	asn__L_c	9
b0285	his__L_c	9
b0285	val__L_c	22
b0285	ile__L_c	14
b0285	cys__L_c	4
b0285	tyr__L_c	8
b0285	phe__L_c	8
b0285	asp__L_c	14
b0285	arg__L_c	22
b0285	trp__L_c	1
b0285	gly_c	25
b0285	leu__L_c	36
b0285	met__L_c	4
b0285	thr__L_c	23
b0285	ala__L_c	49
b2900	lys__L_c	6
b2900	ser__L_c	3
b2900	pro__L_c	2
b2900	gln__L_c	6
b2900	glu__L_c	9
b2900	asn__L_c	2
b2900	his__L_c	2
b2900	val__L_c	6
b2900	ile__L_c	8
b2900	cys__L_c	2
b2900	tyr__L_c	3
b2900	phe__L_c	8
b2900	asp__L_c	9
b2900	arg__L_c	5
b2900	trp__L_c	0
b2900	gly_c	5
b2900	leu__L_c	7
b2900	met__L_c	2
b2900	thr__L_c	14
b2900	ala__L_c	4
b3938	lys__L_c	8
b3938	ser__L_c	6
b3938	pro__L_c	6
b3938	gln__L_c	3
b3938	glu__L_c	14
b3938	asn__L_c	4
b3938	his__L_c	3
b3938	val__L_c	4
b3938	ile__L_c	7
b3938	cys__L_c	1
b3938	tyr__L_c	3
b3938	phe__L_c	2
b3938	asp__L_c	5
b3938	arg__L_c	7
b3938	trp__L_c	2
b3938	gly_c	4
b3938	leu__L_c	9
b3938	met__L_c	3
b3938	thr__L_c	6
b3938	ala__L_c	8
b0020	lys__L_c	12
b0020	ser__L_c	19
b0020	pro__L_c	13
b0020	gln__L_c	11
b0020	glu__L_c	26
b0020	asn__L_c	12
b0020	his__L_c	9
b0020	val__L_c	21
b0020	ile__L_c	16
b0020	cys__L_c	6
b0020	tyr__L_c	13
b0020	phe__L_c	15
b0020	asp__L_c	12
b0020	arg__L_c	18
b0020	trp__L_c	3
b0020	gly_c	18
b0020	leu__L_c	33
b0020	met__L_c	11
b0020	thr__L_c	10
b0020	ala__L_c	23
b2343	lys__L_c	3
b2343	ser__L_c	8
b2343	pro__L_c	3
b2343	gln__L_c	2
b2343	glu__L_c	10
b2343	asn__L_c	2
b2343	his__L_c	0
b2343	val__L_c	5
b2343	ile__L_c	4
b2343	cys__L_c	7
b2343	tyr__L_c	1
b2343	phe__L_c	5
b2343	asp__L_c	7
b2343	arg__L_c	5
b2343	trp__L_c	0
b2343	gly_c	3
b2343	leu__L_c	6
b2343	met__L_c	4
b2343	thr__L_c	9
b2343	ala__L_c	10
b2575	lys__L_c	3
b2575	ser__L_c	14
b2575	pro__L_c	10
b2575	gln__L_c	18
b2575	glu__L_c	16
b2575	asn__L_c	8
b2575	his__L_c	5
b2575	val__L_c	15
b2575	ile__L_c	12
b2575	cys__L_c	7
b2575	tyr__L_c	6
b2575	phe__L_c	12
